,title,rating,review_num,price
322,Stage Door Deli,4.5,413,$
323,Sarges Delicatessen & Diner,4.5,629,$$ - $$$
324,Zero Otto Nove,4.5,220,$$ - $$$
325,Ravagh Persian Grill,4.5,188,$$ - $$$
326,Gyu-Kaku Times Square,4.5,324,$$ - $$$
327,Luigis Gourmet Pizza,4.5,181,$
328,Whole Foods Market,4.5,415,$
329,Ayza Wine & Chocolate Bar,4.5,464,$$ - $$$
330,Match 65 Brasserie,4.5,314,$$ - $$$
331,Faces and Names,4.5,260,$$ - $$$
332,The Marshal,4.5,234,$$ - $$$
333,BLT Steak,4.5,576,$$$$
334,Num Pang Sandwich Shop,4.5,223,$
335,New York Yankees Steak House,4.5,489,$$$$
336,Danji,4.5,430,$$ - $$$
337,Westville Chelsea,4.5,172,$$ - $$$
338,Sushi Yasuda,4.5,628,$$$$
339,Penelope,4.5,1173,$$ - $$$
340,Friedmans,4.5,1059,$$ - $$$
341,Vitae,4.5,299,$$$$
342,Felice 15 Gold Street,4.5,219,$$ - $$$
343,Patzeria Perfect Pizza,4.5,1080,$
344,Excellent Dumpling House,4.5,609,$
345,Clarks Corner,4.5,225,$
346,La Isla Restaurant,4.5,319,$$ - $$$
347,Morimoto,4.5,1462,$$$$
348,Five Leaves,4.5,558,$$ - $$$
349,Balthazar,4.5,5738,$$$$
350,Five Guys,4.5,1224,$
351,Mamouns Falafel,4.5,390,$
352,Trinity Place,4.5,261,$$ - $$$
353,Sant Ambroeus,4.5,363,$$$$
354,The Press Lounge,4.5,337,$$ - $$$
355,Bus Stop,4.5,198,$
356,Dovetail,4.5,484,$$$$
357,Mortons The Steakhouse,4.5,1010,$$$$
358,Taim Nolita,4.5,122,$
359,The Grand Tier Restaurant,4.5,293,$$$$
360,Xian Famous Foods,4.5,245,$
361,STATE Grill and Bar,4.5,217,$$ - $$$
362,Sadelles,4.5,232,$$ - $$$
363,The Egg Shop,4.5,238,$$ - $$$
364,The Landmark Tavern,4.5,297,$$ - $$$
365,The Top of The Standard,4.5,689,$$$$
366,Hourglass Tavern,4.5,419,$$ - $$$
367,The Dining Room,4.5,221,$$$$
368,Black Iron Burger,4.5,422,$$ - $$$
369,Adriennes Pizzabar,4.5,713,$$ - $$$
370,Lukes Lobster- The Plaza,4.5,359,$$ - $$$
371,Le Coq Rico NYC,4.5,211,$$$$
372,ABA Turkish Restaurant,4.5,243,$$ - $$$
373,Villa Berulia,4.5,143,$$ - $$$
374,Red Farm,4.5,371,$$ - $$$
375,99 Cent Fresh Pizza,4.5,215,$
376,Five Guys,4.5,1675,$
377,Etcetera Etcetera Restaurant,4.5,462,$$ - $$$
378,la bonbonniere,4.5,138,$
379,Great Northern Food,4.5,150,$$ - $$$
380,Urbanspace Vanderbilt,4.5,296,$
381,Tribecas Kitchen,4.5,197,$$ - $$$
382,Balaboosta,4.5,251,$$ - $$$
383,Fig & Olive Fifth Avenue,4,1220,$$ - $$$
384,Blue Smoke,4.5,485,$$ - $$$
385,21 Club,4.5,1066,$$$$
386,Bocca di Bacco,4,511,$$ - $$$
387,Bubbys,4,1280,$$ - $$$
388,VIV Thai,4.5,204,$$ - $$$
389,Malibu Diner,4.5,434,$
390,Bareburger,4.5,373,$$ - $$$
391,Bistro Les Amis,4.5,307,$$ - $$$
392,Quality Meats,4.5,2136,$$$$
393,Jackson Hole,4.5,538,$$ - $$$
394,Sakagura,4.5,444,$$ - $$$
395,Sandwicherie,4.5,189,$
396,Tomino - Taberna Gallega,5,56,$$ - $$$
397,Dean and Deluca,4.5,220,$$ - $$$
398,Peter Luger Steak House,4,4145,$$$$
399,Brasserie 8 1/2,4,367,$$ - $$$
400,Zabar Deli & Gourmet Foods,4.5,468,$
401,Natsumi,4.5,746,$$ - $$$
402,Remi,4,558,$$$$
403,Front Street Pizza,4.5,207,$
404,Acqua,4.5,303,$$ - $$$
405,Tessa,4.5,229,$$ - $$$
406,Annam,4.5,167,$$ - $$$
407,Bluestone Lane,4.5,129,$$ - $$$
408,Cookshop,4.5,971,$$ - $$$
409,Kang Ho Dong Baekjeong,4.5,204,$$ - $$$
410,Boqueria,4.5,542,$$ - $$$
411,Il Mulino,4.5,471,$$$$
412,Steves Pizza,4.5,174,$
413,Toloache,4.5,1803,$$ - $$$
414,Benjamin Steakhouse,4.5,2164,$$$$
415,Shake Shack,4.5,126,$
416,Il Tinello Ristorante,4.5,276,$$$$
417,Shake Shack,4.5,467,$
418,Ristorante Morini,4.5,291,$$$$
419,Mudspot,4.5,118,$$ - $$$
420,OCabanon,4.5,271,
421,Pio Pio 6,4.5,388,
422,Aquavit,4.5,504,
423,Crompton Ale House,4.5,135,
424,Avra Estiatorio,4.5,945,
425,Mighty Quinns Barbeque,4.5,593,
426,Dudleys,4.5,211,
427,Delmonicos,4.5,850,
428,Ruths Chris Steak House,4.5,1302,
429,Filaga Pizzeria e Rosticerria Siciliana,4.5,107,
430,Shake Shack,4.5,1603,
431,Victors Cafe,4.5,1401,
432,West Side Steakhouse,4.5,857,
433,Totto Ramen,4.5,798,
434,Roman Nose,4.5,148,
435,Motorino,4.5,253,
436,9 Ten Restaurant,4.5,194,
437,Pick A Bagel,4.5,778,
438,Sparks Steak House,4,1222,
439,Jackson Hole,4.5,721,
440,Dean & Deluca,4.5,254,
441,Vaucluse,4.5,226,
442,Emmett OLunneys Irish Pub,4.5,878,
443,TORST,4.5,109,
444,LEcole,4.5,480,
445,44 & X,4.5,618,
446,Friedmans Lunch,4.5,430,
447,Dinosaur Bar-B-Que,4.5,503,
448,Ai Fiori,4.5,850,
449,Le Parisien,4.5,266,
450,99 Cents Fresh Pizza,4.5,241,$
451,Kashkaval Garden,4.5,105,$$ - $$$
452,Llama Inn,4.5,90,$$ - $$$
453,Le Bateau Ivre,4.5,237,$$ - $$$
454,Bourbon Street Bar & Grille,4,916,$$ - $$$
455,Mozzarella&Vino;,4.5,354,$$ - $$$
456,Fresh and Co.,4.5,307,$
457,The Kati Roll Company,4.5,175,$
458,Birdland,4.5,299,$$ - $$$
459,Ivan Ramen,4.5,275,$$ - $$$
460,Cafe Luxembourg,4,504,$$ - $$$
461,Boucherie Park Avenue South,5,132,$$$$
462,Katzs Deli,4,14172,$$ - $$$
463,Anejo Tequileria,4.5,296,$$ - $$$
464,Arturos,4.5,300,$$ - $$$
465,BLT Prime,4.5,319,$$$$
466,Lukes Lobster- Brooklyn Bridge Park,4.5,249,$$ - $$$
467,Toasties,4.5,159,$
468,La Esquina,4.5,1023,$$ - $$$
469,The Milling Room,4.5,162,$$ - $$$
470,Nirvana,4,316,$$ - $$$
471,Spyglass,4.5,280,$$ - $$$
472,Scottys Diner,4.5,1669,$
473,Molyvos,4.5,951,$$ - $$$
474,Rubys,4.5,271,$$ - $$$
475,ABC Cocina,4.5,616,$$ - $$$
476,Blue Smoke,4,1566,$$ - $$$
477,The Grey Dog,4.5,214,$$ - $$$
478,Pret A Manger,4.5,232,$
479,Cupping Room Cafe,4.5,466,$$ - $$$
480,The Malt House,4.5,184,$$ - $$$
481,Grazie,4.5,291,$$ - $$$
482,City Sandwich,4.5,111,$
483,The Meatball Shop,4.5,173,$$ - $$$
484,ilili,4.5,1013,$$ - $$$
485,Pies-N-Thighs,4.5,320,$$ - $$$
486,Quantum Leap Natural Food,4.5,148,$$ - $$$
487,Le Rivage,4,667,$$ - $$$
488,2 Bros Pizza,4.5,667,$
489,Pio Pio 8,4.5,457,$$ - $$$
490,Murray Hill Diner,4.5,535,$
491,Untitled,4,382,$$ - $$$
492,Fresh and Co.,4.5,185,$
493,Champs Diner,4.5,148,$$ - $$$
494,Cowgirl Seahorse,4.5,201,$$ - $$$
495,Bareburger,4.5,230,$$ - $$$
496,Carve Unique Sandwiches,4.5,983,$
497,Nobu,4.5,1390,$$$$
498,The Paris Cafe,4.5,282,$$ - $$$
499,Fat Cat,4.5,180,$
500,Mari Vanna,4.5,307,$$ - $$$
501,Saju Bistro,4.5,1229,$$ - $$$
502,Souvlaki Gr,4.5,224,$$ - $$$
503,Hakkasan,4,908,$$$$
504,Maison Harlem,4.5,153,$$ - $$$
505,Momofuku Ssam Bar,4,597,$$ - $$$
506,Fig & Olive,4,1080,$$ - $$$
507,Pokeworks,4.5,111,$$ - $$$
508,Amma,4.5,379,$$ - $$$
509,Tasty Hand Pulled Noodles,4.5,298,$
510,Osteria Morini Manhattan,4.5,664,$$ - $$$
511,Foxy Johns Bar & Kitchen,4.5,144,$$ - $$$
512,Zuma,4,625,$$$$
513,Joe Allen,4,911,$$ - $$$
514,Estela,4.5,316,$$ - $$$
515,Riverpark,4.5,347,$$$$
516,Rotisserie Georgette,4,241,$$$$
517,Tacombi - Nolita,4.5,470,$$ - $$$
518,Little Italy Pizza,4.5,177,$
519,The Smith,4,802,$$ - $$$
520,Felidia,4.5,725,$$$$
521,Niles Bar & Restaurant,4,581,$$ - $$$
522,Blue Ribbon Sushi Bar & Grill,4.5,306,$$ - $$$
523,Barbuto,4.5,531,$$ - $$$
524,Shake Shack Theater District,4.5,5877,$
525,Clement at The Peninsula New York,4.5,190,$$$$
526,Shake Shack,4.5,179,$
527,The Counter,4.5,1381,$$ - $$$
528,Harrys Cafe & Steak,4.5,302,$$$$
529,Samba Kitchen,4.5,72,$$ - $$$
530,Tommy Bahama Restaurant Bar Store,4.5,382,$$ - $$$
531,Central Market,4.5,82,$$ - $$$
532,Barn Joo 35,4.5,110,$$ - $$$
533,Pret A Manger,4.5,176,$
534,Yakitori Totto,4.5,269,$$ - $$$
535,Benito One,4.5,1208,$$ - $$$
536,Aurora,4.5,182,$$ - $$$
537,Aretskys Patroon,4.5,154,$$$$
538,P.J. Clarkes,4,1441,$$ - $$$
539,Naruto Ramen,4.5,143,$
540,Saxon and Parole,4.5,288,$$ - $$$
541,Freds,4.5,296,$$ - $$$
542,Dons Bogam BBQ & Wine Bar,4.5,158,$$ - $$$
543,Banc Cafe,4.5,142,$$ - $$$
544,TAO Downtown,4.5,1213,$$$$
545,Valbella,4.5,239,$$$$
546,Koi,4,746,$$$$
547,Shake Shack,4.5,873,$
548,Davios Northern Italian Steakhouse,4.5,329,$$$$
549,Cipriani,4.5,388,$$$$
550,Rossinis Restaurant,4,383,$$$$
551,New York Luncheonette,4,838,$
552,Smoke Jazz Club,4.5,467,$$ - $$$
553,The Palm West Side,4.5,552,$$$$
554,Don Antonio,4.5,1877,$$ - $$$
555,Lupa,4,875,$$ - $$$
556,Paolas Restaurant,4.5,244,$$ - $$$
557,Strip House,4,563,$$$$
558,Nocello,4,327,$$ - $$$
559,Calle Ocho,4,441,$$ - $$$
560,Vanessas Dumpling House,4.5,429,$
561,Lighthorse Tavern,4,326,$$ - $$$
562,Lukes Lobster Upper West Side,4.5,164,$$ - $$$
563,The Meatball Shop,4.5,391,$$ - $$$
564,Parker and Quinn,4,708,$$ - $$$
565,ViceVersa,4,397,$$ - $$$
566,Cielo at the Mayfair,4,223,$$ - $$$
567,Shake Shack,4.5,819,$
568,Seans Bar & Kitchen,4,216,$$ - $$$
569,Rosemarys,4.5,562,$$ - $$$
570,Boqueria,4,378,$$ - $$$
571,La Mangeoire,4.5,247,$$ - $$$
572,Il Brigante,4.5,333,$$ - $$$
573,Black Tap Craft Burgers & Beer,4,379,$$ - $$$
574,Cock & Bull,4.5,359,$$ - $$$
575,Tinys & The Bar Upstairs,4,222,$$ - $$$
576,Knickerbocker Bar & Grill,4,382,$$ - $$$
577,Big Daddys,4,444,$$ - $$$
578,Fette Sau,4.5,609,$$ - $$$
579,Little Park,4.5,193,$$ - $$$
580,Artichoke Basilles Pizza,4.5,401,$$ - $$$
581,Candle Cafe,4.5,313,$$ - $$$
582,Porter House,4,879,$$$$
583,Johnys Luncheonette,4.5,315,$
584,Trading Post,4.5,165,$$ - $$$
585,2 Bros Pizza,4.5,213,$
586,R Lounge at Two Times Square,4.5,489,$$ - $$$
587,Black Barn,4.5,212,$$ - $$$
588,Marta,4,660,$$ - $$$
589,Benjamin Steakhouse Prime,4.5,140,$$$$
590,Marseille,4,1004,$$ - $$$
591,Tonys Di Napoli - Upper East Side,4.5,497,$$ - $$$
592,Ear Inn,4.5,185,$$ - $$$
593,Pret A Manger,4.5,395,$
594,Brazil Brazil,4,672,$$ - $$$
595,The Harold,4,653,$$ - $$$
596,Dos Toros Taqueria,4.5,135,$
597,Pastrami Queen,4.5,336,$$ - $$$
